# GPS drift 10-minute recording
# start_unix=1778552787
host_elapsed_s,status,samples,lat,lon,sat,hdop,drift_m,east_m,north_m,avg_m,rms_m,max_m,fix_age_ms,raw
0.508,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,20948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=20948"
1.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,21948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=21948"
2.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,22948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=22948"
3.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,23948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=23948"
4.321,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,24948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=24948"
5.328,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,25948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=25948"
6.321,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,26948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=26948"
7.324,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,27948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=27948"
8.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,28948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=28948"
9.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,29948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=29948"
10.323,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,30948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=30948"
11.328,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,31948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=31948"
12.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,32948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=32948"
