# GPS drift 5-minute recording
# start_unix=1778582128
host_elapsed_s,status,samples,lat,lon,alt_m,sat,hdop,drift_m,east_m,north_m,avg_m,rms_m,max_m,fix_age_ms,raw
0.513,TRACK,1389,22.786164667,120.269670833,29.10,12,0.58,2.772,0.307,-2.755,8500.851,316760.318,11805432.242,915,"status=TRACK samples=1389 drift=2.772m east=0.307m north=-2.755m avg=8500.851m rms=316760.318m max=11805432.242m lat=22.786164667 lon=120.269670833 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=915"
0.514,TRACK,1391,22.786164000,120.269670167,29.10,12,0.58,2.839,0.239,-2.829,8488.632,316532.515,11805432.242,11,"status=TRACK samples=1391 drift=2.839m east=0.239m north=-2.829m avg=8488.632m rms=316532.515m max=11805432.242m lat=22.786164000 lon=120.269670167 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=11"
0.515,TRACK,1393,22.786163833,120.269670167,29.10,12,0.58,2.858,0.239,-2.848,8476.449,316305.202,11805432.242,5,"status=TRACK samples=1393 drift=2.858m east=0.239m north=-2.848m avg=8476.449m rms=316305.202m max=11805432.242m lat=22.786163833 lon=120.269670167 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=5"
0.516,TRACK,1395,22.786163833,120.269670167,29.10,12,0.58,2.858,0.239,-2.848,8464.300,316078.379,11805432.242,3,"status=TRACK samples=1395 drift=2.858m east=0.239m north=-2.848m avg=8464.300m rms=316078.379m max=11805432.242m lat=22.786163833 lon=120.269670167 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=3"
0.517,TRACK,1395,22.786163833,120.269670167,29.10,12,0.58,2.858,0.239,-2.848,8464.300,316078.379,11805432.242,103,"status=TRACK samples=1395 drift=2.858m east=0.239m north=-2.848m avg=8464.300m rms=316078.379m max=11805432.242m lat=22.786163833 lon=120.269670167 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=103"
0.530,TRACK,1397,22.786163667,120.269670000,29.10,12,0.58,2.875,0.222,-2.866,8452.186,315852.043,11805432.242,43,"status=TRACK samples=1397 drift=2.875m east=0.222m north=-2.866m avg=8452.186m rms=315852.043m max=11805432.242m lat=22.786163667 lon=120.269670000 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=43"
0.631,TRACK,1399,22.786163667,120.269670000,29.10,12,0.58,2.875,0.222,-2.866,8440.107,315626.192,11805432.242,2,"status=TRACK samples=1399 drift=2.875m east=0.222m north=-2.866m avg=8440.107m rms=315626.192m max=11805432.242m lat=22.786163667 lon=120.269670000 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=2"
0.725,TRACK,1399,22.786163667,120.269670000,29.10,12,0.58,2.875,0.222,-2.866,8440.107,315626.192,11805432.242,102,"status=TRACK samples=1399 drift=2.875m east=0.222m north=-2.866m avg=8440.107m rms=315626.192m max=11805432.242m lat=22.786163667 lon=120.269670000 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=102"
0.824,TRACK,1399,22.786163667,120.269670000,29.10,12,0.58,2.875,0.222,-2.866,8440.107,315626.192,11805432.242,202,"status=TRACK samples=1399 drift=2.875m east=0.222m north=-2.866m avg=8440.107m rms=315626.192m max=11805432.242m lat=22.786163667 lon=120.269670000 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=202"
0.922,TRACK,1399,22.786163667,120.269670000,29.10,12,0.58,2.875,0.222,-2.866,8440.107,315626.192,11805432.242,302,"status=TRACK samples=1399 drift=2.875m east=0.222m north=-2.866m avg=8440.107m rms=315626.192m max=11805432.242m lat=22.786163667 lon=120.269670000 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=302"
1.031,TRACK,1399,22.786163667,120.269670000,29.10,12,0.58,2.875,0.222,-2.866,8440.107,315626.192,11805432.242,402,"status=TRACK samples=1399 drift=2.875m east=0.222m north=-2.866m avg=8440.107m rms=315626.192m max=11805432.242m lat=22.786163667 lon=120.269670000 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=402"
1.125,TRACK,1400,22.786163167,120.269669667,29.10,12,0.58,2.928,0.188,-2.922,8434.081,315513.448,11805432.242,14,"status=TRACK samples=1400 drift=2.928m east=0.188m north=-2.922m avg=8434.081m rms=315513.448m max=11805432.242m lat=22.786163167 lon=120.269669667 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=14"
1.220,TRACK,1401,22.786163000,120.269669667,29.10,12,0.58,2.946,0.188,-2.940,8428.063,315400.825,11805432.242,21,"status=TRACK samples=1401 drift=2.946m east=0.188m north=-2.940m avg=8428.063m rms=315400.825m max=11805432.242m lat=22.786163000 lon=120.269669667 sat=12 hdop=0.58 alt=29.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=21"
